Summary
Name;Number of trades;Number of Sells;Number of Buys;Ratio;Average Risk Reward;Number of Wins(%) B/S;Number of BEs(%) B/S;Number of Losses(%) B/S;Max Drawdown Percentual;Max Balance;Max Consecutive Wins;Max Sequence without Losses;Max Consecutive Losses;Max Sequence without Wins;Final Balance
DBO_EU_TF-M5_TFH-D1_L14_F1.0_SL7_RR-3.0_BE-1.0_STS-0.0_TSF-5.0;29;14;15;1.79;0.50;11(37%) 6/5;0(0%)0/0;18(62%)9/9;0.08;11337.93;2;2;8;8;11337.93
Orders
Ticket;Pending Time;Open Time;Close Time;Strategy ID;Type;Entry;Original SL;SL;TP;Initial Balance;Final Balance;Profit;Max Profit(%);Max Drawdown(%);Max Loss(%)
1;2024.07.08 16:00:00;2024.07.08 16:00:00;2024.07.08 19:15:00;-2052103413;SELL;1.08437;1.08478;1.08478;1.08311;10000.00;10296.43;303.66;3.02;1.18;-0.19
2;2024.07.12 17:35:00;2024.07.12 17:35:00;2024.07.12 17:55:00;-2052103413;SELL;1.09009;1.09083;1.09083;1.08784;10296.43;10190.17;-102.12;0.01;0.97;-0.96
3;2024.07.15 12:40:00;2024.07.15 12:40:00;2024.07.15 13:20:00;-2052103413;SELL;1.09120;1.09159;1.09159;1.09002;10190.17;10079.71;-102.57;1.06;2.00;-0.94
4;2024.07.16 15:50:00;2024.07.16 15:50:00;2024.07.16 16:10:00;-2052103413;BUY;1.08794;1.08743;1.08743;1.08939;10079.71;9969.01;-104.55;0.31;1.29;-0.99
5;2024.07.22 17:20:00;2024.07.22 17:20:00;2024.07.22 20:15:00;-2052103413;BUY;1.08752;1.08700;1.08700;1.08901;9969.01;10258.09;295.02;2.93;1.33;0.00
6;2024.07.23 11:05:00;2024.07.23 11:05:00;2024.07.23 11:10:00;-2052103413;BUY;1.08730;1.08687;1.08687;1.08852;10258.09;10144.01;-106.64;0.02;1.00;-0.98
7;2024.07.25 20:10:00;2024.07.25 20:10:00;2024.07.25 20:55:00;-2052103413;SELL;1.08682;1.08726;1.08726;1.08549;10144.01;10444.31;307.23;3.01;0.11;0.00
8;2024.07.29 11:10:00;2024.07.29 11:10:00;2024.07.29 11:35:00;-2052103413;BUY;1.08400;1.08359;1.08359;1.08514;10444.31;10325.95;-110.29;0.28;1.27;-0.99
9;2024.07.30 16:00:00;2024.07.30 16:00:00;2024.07.30 16:30:00;-2052103413;BUY;1.08020;1.07976;1.07976;1.08146;10325.95;10623.61;304.92;2.94;0.37;0.00
10;2024.08.01 11:00:00;2024.08.01 11:00:00;2024.08.01 11:05:00;-2052103413;BUY;1.08013;1.07955;1.07955;1.08178;10623.61;10507.71;-110.20;0.02;1.01;-0.99
11;2024.08.02 14:30:00;2024.08.02 14:30:00;2024.08.02 15:35:00;-2052103413;SELL;1.08363;1.08401;1.08401;1.08249;10507.71;10392.91;-106.40;1.52;2.46;-0.94
12;2024.08.08 15:50:00;2024.08.08 15:50:00;2024.08.08 16:40:00;-2052103413;BUY;1.08968;1.08904;1.08904;1.09151;10392.91;10280.35;-107.52;0.99;1.98;-1.00
13;2024.08.12 18:05:00;2024.08.12 18:05:00;2024.08.12 18:15:00;-2052103413;SELL;1.09325;1.09372;1.09372;1.09181;10280.35;10172.35;-101.52;0.02;0.96;-0.93
14;2024.08.14 10:00:00;2024.08.14 10:00:00;2024.08.14 10:25:00;-2052103413;SELL;1.10000;1.10049;1.10049;1.09850;10172.35;10065.23;-100.94;0.47;1.41;-0.94
15;2024.08.15 15:35:00;2024.08.15 15:35:00;2024.08.15 15:40:00;-2052103413;BUY;1.09745;1.09661;1.09661;1.09991;10065.23;9959.09;-102.48;0.01;1.00;-0.99
16;2024.08.23 17:30:00;2024.08.23 17:30:00;2024.08.23 17:35:00;-2052103413;SELL;1.11697;1.11837;1.11837;1.11274;9959.09;9858.99;-98.00;0.01;0.98;-0.97
