Summary
Name;Number of trades;Number of Sells;Number of Buys;Ratio;Average Risk Reward;Number of Wins(%) B/S;Number of BEs(%) B/S;Number of Losses(%) B/S;Max Drawdown Percentual;Max Balance;Max Consecutive Wins;Max Sequence without Losses;Max Consecutive Losses;Max Sequence without Wins;Final Balance
FTB_GU_TF-M30_F-0.33_L-2_RSIU-80_RSIL-20_SL-20_RR-3.0_BE-1.0_STS-0.0_TSF-5.0;54;26;28;1.12;0.10;15(27%) 9/6;0(0%)0/0;39(72%)19/20;0.10;10491.34;2;2;9;9;10275.0548
Orders
Ticket;Pending Time;Open Time;Close Time;Strategy ID;Type;Entry;Original SL;SL;TP;Initial Balance;Final Balance;Profit;Max Profit(%);Max Drawdown(%);Max Loss(%)
1;2024.07.03 12:00:00;2024.07.03 12:00:00;2024.07.03 14:00:00;619198764;SELL;1.26954;1.27038;1.27038;1.26700;10000.00;9896.47;-99.96;0.01;0.99;-0.97
2;2024.07.03 14:00:00;2024.07.03 14:00:00;2024.07.03 15:30:00;619198764;SELL;1.26993;1.27104;1.27104;1.26658;9896.47;9795.01;-98.79;0.23;1.22;-0.98
3;2024.07.03 18:00:00;2024.07.03 18:00:00;2024.07.05 11:00:00;619198764;SELL;1.27618;1.27771;1.27771;1.27157;9795.01;9694.07;-97.92;1.81;2.80;-0.99
4;2024.07.08 11:30:00;2024.07.08 11:30:00;2024.07.08 12:00:00;619198764;SELL;1.28136;1.28213;1.28213;1.27903;9694.07;9594.07;-96.25;0.01;0.98;-0.96
5;2024.07.08 17:30:00;2024.07.08 17:30:00;2024.07.08 19:30:00;619198764;SELL;1.28411;1.28478;1.28478;1.28208;9594.07;9880.07;290.29;2.98;0.00;0.00
6;2024.07.09 13:00:00;2024.07.09 13:00:00;2024.07.09 13:30:00;619198764;SELL;1.28081;1.28163;1.28163;1.27833;9880.07;9778.07;-98.40;0.01;0.98;-0.97
7;2024.07.09 14:00:00;2024.07.09 14:00:00;2024.07.10 17:00:00;619198764;SELL;1.28145;1.28271;1.28271;1.27765;9778.07;9678.41;-97.02;2.83;3.81;-0.98
8;2024.07.11 11:00:00;2024.07.11 11:00:00;2024.07.11 12:00:00;619198764;SELL;1.28660;1.28728;1.28728;1.28454;9678.41;9577.59;-96.56;0.01;0.98;-0.96
9;2024.07.11 13:30:00;2024.07.11 13:30:00;2024.07.11 16:00:00;619198764;SELL;1.28769;1.28839;1.28839;1.28557;9577.59;9478.31;-95.20;0.95;1.91;-0.96
10;2024.07.17 09:30:00;2024.07.17 09:30:00;2024.07.17 10:00:00;619198764;SELL;1.29745;1.29899;1.29899;1.29281;9478.31;9382.54;-93.94;0.01;0.99;-0.98
11;2024.07.17 19:00:00;2024.07.17 19:00:00;2024.07.18 10:00:00;619198764;BUY;1.30055;1.29969;1.29969;1.30305;9382.54;9272.26;-95.46;0.63;1.62;-0.99
12;2024.07.23 10:00:00;2024.07.23 10:00:00;2024.07.23 11:30:00;619198764;BUY;1.29179;1.29103;1.29103;1.29399;9272.26;9173.51;-95.00;0.01;1.01;-0.99
13;2024.07.25 10:30:00;2024.07.25 10:30:00;2024.07.25 14:00:00;619198764;BUY;1.28847;1.28720;1.28720;1.29220;9173.51;9078.61;-92.71;0.68;1.68;-1.00
15;2024.07.26 09:30:00;2024.07.26 09:30:00;2024.07.26 16:00:00;619198764;BUY;1.28613;1.28548;1.28548;1.28800;9078.61;8980.01;-94.25;1.84;2.84;-1.00
14;2024.07.25 11:30:00;2024.07.25 11:30:00;2024.07.29 11:30:00;619198764;SELL;1.28904;1.29156;1.29156;1.28146;9173.51;9251.50;272.88;2.96;1.51;0.00
16;2024.07.29 12:30:00;2024.07.29 12:30:00;2024.07.29 14:00:00;619198764;BUY;1.28150;1.28046;1.28046;1.28454;9251.50;9522.40;273.60;2.90;0.00;0.00
17;2024.07.30 09:30:00;2024.07.30 09:30:00;2024.07.30 15:30:00;619198764;BUY;1.28517;1.28412;1.28412;1.28824;9522.40;9423.04;-96.60;1.05;2.05;-1.00
18;2024.07.31 12:00:00;2024.07.31 12:00:00;2024.07.31 22:30:00;619198764;BUY;1.28296;1.28189;1.28189;1.28609;9423.04;9698.94;278.57;2.90;2.37;-0.40
