Summary
Name;Number of trades;Number of Sells;Number of Buys;Ratio;Average Risk Reward;Number of Wins(%) B/S;Number of BEs(%) B/S;Number of Losses(%) B/S;Max Drawdown Percentual;Max Balance;Max Consecutive Wins;Max Sequence without Losses;Max Consecutive Losses;Max Sequence without Wins;Final Balance
PBS_UJ_M1_F-0.33_E-15_L-14_AMN-0.0_AMX-3.0_F-1.0_SL7_RR-3.0_BE-1.0_STS-0.0_TSF-5.0;389;175;214;1.14;0.14;111(28%) 63/48;0(0%)0/0;278(71%)151/127;0.23;14658.57;5;5;16;16;13482.53639199998
Orders
Ticket;Pending Time;Open Time;Close Time;Strategy ID;Type;Entry;Original SL;SL;TP;Initial Balance;Final Balance;Profit;Max Profit(%);Max Drawdown(%);Max Loss(%)
2;2024.09.02 09:28:00;2024.09.02 09:28:00;2024.09.02 09:36:00;301079539;BUY;146.290;146.175;146.175;146.626;10000.00;9893.83;-102.27;0.08;1.08;-0.99
1;2024.09.02 09:14:00;2024.09.02 09:14:00;2024.09.02 09:51:00;301079539;BUY;146.206;146.106;146.106;146.500;10000.00;9788.10;-101.29;0.94;1.93;-0.99
3;2024.09.02 10:09:00;2024.09.02 10:09:00;2024.09.02 10:13:00;301079539;SELL;146.151;146.255;146.255;145.837;9788.10;9686.56;-97.43;0.02;0.99;-0.96
4;2024.09.02 10:18:00;2024.09.02 10:18:00;2024.09.02 11:01:00;301079539;BUY;146.247;146.166;146.166;146.481;9686.56;9968.73;287.57;2.96;1.12;-0.40
7;2024.09.02 11:36:00;2024.09.02 11:36:00;2024.09.02 11:46:00;301079539;BUY;146.825;146.697;146.697;147.201;9968.73;9863.13;-102.09;0.02;1.02;-1.00
8;2024.09.02 12:23:00;2024.09.02 12:23:00;2024.09.02 13:40:00;301079539;SELL;146.659;146.765;146.765;146.341;9863.13;9760.83;-98.22;0.32;1.29;-0.96
9;2024.09.02 14:34:00;2024.09.02 14:34:00;2024.09.03 02:34:00;301079539;BUY;146.890;146.774;146.774;147.230;9760.83;9665.80;-100.37;2.11;3.11;-1.00
6;2024.09.02 11:22:00;2024.09.02 11:22:00;2024.09.03 06:51:00;301079539;BUY;146.695;146.486;146.486;147.313;9968.73;9471.44;-99.88;2.46;3.49;-1.03
5;2024.09.02 11:21:00;2024.09.02 11:21:00;2024.09.03 06:51:00;301079539;BUY;146.697;146.484;146.484;147.328;9968.73;9471.44;-100.33;2.41;3.45;-1.04
10;2024.09.03 09:18:00;2024.09.03 09:18:00;2024.09.03 09:44:00;301079539;SELL;146.294;146.387;146.387;146.013;9471.44;9753.75;286.78;2.99;0.54;0.00
13;2024.09.03 09:51:00;2024.09.03 09:51:00;2024.09.03 10:03:00;301079539;BUY;146.105;145.939;145.939;146.594;9753.75;9653.43;-97.74;0.23;1.22;-0.99
12;2024.09.03 09:45:00;2024.09.03 09:45:00;2024.09.03 10:05:00;301079539;SELL;145.995;146.168;146.168;145.474;9753.75;9552.69;-98.25;0.01;1.02;-1.00
11;2024.09.03 09:37:00;2024.09.03 09:37:00;2024.09.03 11:36:00;301079539;SELL;146.126;146.286;146.286;145.645;9471.44;9840.72;290.67;2.98;1.44;-0.61
14;2024.09.03 10:45:00;2024.09.03 10:45:00;2024.09.03 14:49:00;301079539;SELL;146.041;146.183;146.183;145.612;9552.69;9742.58;-95.20;2.91;3.86;-0.95
15;2024.09.03 11:31:00;2024.09.03 11:31:00;2024.09.03 14:50:00;301079539;BUY;145.754;145.607;145.607;146.187;9552.69;10035.77;296.19;2.99;1.07;-0.92
16;2024.09.03 14:54:00;2024.09.03 14:54:00;2024.09.03 15:13:00;301079539;BUY;146.223;146.105;146.105;146.569;10035.77;9930.23;-101.76;0.02;1.01;-0.99
17;2024.09.03 15:28:00;2024.09.03 15:28:00;2024.09.03 15:31:00;301079539;BUY;146.272;146.183;146.183;146.531;9930.23;9823.55;-101.67;0.03;1.01;-0.98
19;2024.09.03 16:24:00;2024.09.03 16:24:00;2024.09.03 16:37:00;301079539;BUY;145.695;145.522;145.522;146.206;9823.55;10014.42;-101.05;0.28;1.26;-0.98
18;2024.09.03 16:01:00;2024.09.03 16:01:00;2024.09.03 16:37:00;301079539;SELL;145.882;146.007;146.007;145.505;9823.55;10014.42;297.92;3.01;1.23;0.00
21;2024.09.03 16:59:00;2024.09.03 16:59:00;2024.09.03 17:00:00;301079539;BUY;145.442;145.212;145.212;146.123;10014.42;9911.06;-101.44;0.01;1.01;-1.00
20;2024.09.03 16:57:00;2024.09.03 16:57:00;2024.09.03 17:01:00;301079539;SELL;145.395;145.525;145.525;145.004;10014.42;9806.75;-100.92;2.27;3.26;-0.99
24;2024.09.03 18:30:00;2024.09.03 18:30:00;2024.09.03 22:18:00;301079539;BUY;145.804;145.684;145.684;146.156;9806.75;9700.03;-102.97;1.02;2.04;-1.02
23;2024.09.03 18:03:00;2024.09.03 18:03:00;2024.09.04 00:06:00;301079539;BUY;145.603;145.444;145.444;146.072;9806.75;9603.36;-100.54;2.04;3.06;-1.02
22;2024.09.03 17:15:00;2024.09.03 17:15:00;2024.09.04 03:39:00;301079539;BUY;145.305;145.062;145.062;146.025;9806.75;9507.00;-98.85;2.54;3.56;-1.02
25;2024.09.04 09:25:00;2024.09.04 09:25:00;2024.09.04 09:43:00;301079539;BUY;145.271;145.123;145.123;145.706;9507.00;9407.26;-96.89;0.08;1.08;-1.00
26;2024.09.04 09:38:00;2024.09.04 09:38:00;2024.09.04 10:00:00;301079539;SELL;145.200;145.306;145.306;144.881;9507.00;9689.59;286.23;2.99;0.35;0.00
27;2024.09.04 10:16:00;2024.09.04 10:16:00;2024.09.04 10:25:00;301079539;BUY;145.013;144.842;144.842;145.518;9689.59;9589.11;-97.99;0.06;1.05;-1.00
28;2024.09.04 10:56:00;2024.09.04 10:56:00;2024.09.04 11:31:00;301079539;BUY;144.933;144.844;144.844;145.193;9589.11;9870.83;286.52;2.95;0.62;-0.19
30;2024.09.04 11:50:00;2024.09.04 11:50:00;2024.09.04 12:01:00;301079539;SELL;145.118;145.215;145.215;144.825;9870.83;9767.52;-98.87;0.39;1.35;-0.97
31;2024.09.04 12:02:00;2024.09.04 12:02:00;2024.09.04 12:53:00;301079539;BUY;145.207;145.092;145.092;145.545;9767.52;9663.87;-99.87;0.39;1.39;-0.99
29;2024.09.04 11:23:00;2024.09.04 11:23:00;2024.09.04 13:07:00;301079539;BUY;145.151;145.032;145.032;145.499;9589.11;9559.26;-100.92;0.87;1.89;-1.02
32;2024.09.04 13:04:00;2024.09.04 13:04:00;2024.09.04 13:42:00;301079539;SELL;145.057;145.147;145.147;144.785;9663.87;9458.49;-96.12;1.31;2.28;-0.97
34;2024.09.04 13:48:00;2024.09.04 13:48:00;2024.09.04 14:00:00;301079539;BUY;145.181;145.080;145.080;145.475;9458.49;9356.10;-98.16;0.02;1.03;-1.00
33;2024.09.04 13:28:00;2024.09.04 13:28:00;2024.09.04 14:22:00;301079539;BUY;145.085;144.952;144.952;145.477;9559.26;9255.65;-97.27;0.76;1.78;-1.02
36;2024.09.04 14:49:00;2024.09.04 14:49:00;2024.09.04 14:56:00;301079539;BUY;145.014;144.910;144.910;145.317;9255.65;9156.21;-95.45;0.02;1.02;-1.00
37;2024.09.04 15:02:00;2024.09.04 15:02:00;2024.09.04 15:08:00;301079539;SELL;144.918;144.997;144.997;144.680;9156.21;9057.34;-93.71;0.03;1.01;-0.98
35;2024.09.04 14:01:00;2024.09.04 14:01:00;2024.09.04 15:26:00;301079539;SELL;145.068;145.204;145.204;144.659;9356.10;8960.68;-93.66;1.50;2.51;-1.01
38;2024.09.04 15:13:00;2024.09.04 15:13:00;2024.09.04 16:28:00;301079539;BUY;145.062;144.902;144.902;145.534;9057.34;8866.54;-91.65;0.96;1.96;-1.01
40;2024.09.04 16:32:00;2024.09.04 16:32:00;2024.09.04 17:01:00;301079539;SELL;144.896;145.003;145.003;144.574;8866.54;9403.66;272.38;2.94;0.45;0.00
39;2024.09.04 16:26:00;2024.09.04 16:26:00;2024.09.04 17:01:00;301079539;SELL;144.945;145.049;145.049;144.631;8960.68;9403.66;272.15;2.93;0.46;0.00
43;2024.09.04 17:56:00;2024.09.04 17:56:00;2024.09.04 18:07:00;301079539;SELL;144.120;144.282;144.282;143.632;9403.66;9305.66;-95.45;0.37;1.37;-1.00
42;2024.09.04 17:51:00;2024.09.04 17:51:00;2024.09.04 18:09:00;301079539;SELL;144.135;144.287;144.287;143.677;9403.66;9207.07;-95.86;0.50;1.51;-1.01
44;2024.09.04 18:22:00;2024.09.04 18:22:00;2024.09.04 23:48:00;301079539;SELL;144.257;144.427;144.427;143.744;9207.07;9486.64;281.94;3.02;1.05;-0.92
41;2024.09.04 17:09:00;2024.09.04 17:09:00;2024.09.05 00:05:00;301079539;SELL;144.321;144.524;144.524;143.710;9403.66;9728.85;284.97;2.96;1.91;-0.46
45;2024.09.04 18:32:00;2024.09.04 18:32:00;2024.09.05 01:14:00;301079539;SELL;144.247;144.477;144.477;143.555;9207.07;9971.43;279.59;2.89;0.77;-0.40
48;2024.09.05 09:26:00;2024.09.05 09:26:00;2024.09.05 10:07:00;301079539;SELL;143.124;143.305;143.305;142.579;9971.43;9761.77;-102.31;0.33;1.35;-1.02
47;2024.09.05 09:25:00;2024.09.05 09:25:00;2024.09.05 10:07:00;301079539;SELL;143.120;143.306;143.306;142.560;9971.43;9761.77;-102.55;0.30;1.33;-1.03
46;2024.09.05 09:21:00;2024.09.05 09:21:00;2024.09.05 10:09:00;301079539;SELL;143.220;143.349;143.349;142.831;9971.43;9657.64;-100.77;1.21;2.22;-1.01
