Summary
Name;Number of trades;Number of Sells;Number of Buys;Ratio;Average Risk Reward;Number of Wins(%) B/S;Number of BEs(%) B/S;Number of Losses(%) B/S;Max Drawdown Percentual;Max Balance;Max Consecutive Wins;Max Sequence without Losses;Max Consecutive Losses;Max Sequence without Wins;Final Balance
RSI_UC_TF-M1_RL-5_RU-70_RL-30_AL-14_AF-1.0_SL-7_RR-3.0_BE-1.0_STS-0.0_TSF-5.0;81;47;34;0.96;-0.02;20(24%) 9/11;0(0%)0/0;61(75%)25/36;0.22;11644.88;3;3;12;12;9126.600049999994
Orders
Ticket;Pending Time;Open Time;Close Time;Strategy ID;Type;Entry;Original SL;SL;TP;Initial Balance;Final Balance;Profit;Max Profit(%);Max Drawdown(%);Max Loss(%)
1;2024.09.03 14:01:00;2024.09.03 14:01:00;2024.09.03 15:06:00;1055530475;SELL;1.35440;1.35496;1.35496;1.35271;10000.00;9892.71;-100.03;0.93;1.87;-0.94
2;2024.09.03 16:20:00;2024.09.03 16:20:00;2024.09.03 16:28:00;1055530475;BUY;1.35429;1.35363;1.35363;1.35619;9892.71;9784.56;-101.88;0.03;1.01;-0.98
3;2024.09.03 16:28:00;2024.09.03 16:28:00;2024.09.03 17:12:00;1055530475;BUY;1.35390;1.35335;1.35335;1.35546;9784.56;10065.92;288.89;2.94;2.78;-0.23
4;2024.09.03 17:21:00;2024.09.03 17:21:00;2024.09.04 16:54:00;1055530475;SELL;1.35574;1.35664;1.35664;1.35303;10065.92;10354.92;302.53;2.97;3.42;-0.74
5;2024.09.04 16:46:00;2024.09.04 16:46:00;2024.09.04 17:45:00;1055530475;SELL;1.35450;1.35595;1.35595;1.35013;10065.92;10656.38;304.28;2.90;0.98;-0.04
6;2024.09.04 17:54:00;2024.09.04 17:54:00;2024.09.04 18:10:00;1055530475;SELL;1.35114;1.35180;1.35180;1.34913;10656.38;10544.43;-105.47;0.59;1.52;-0.94
7;2024.09.05 15:22:00;2024.09.05 15:22:00;2024.09.05 15:31:00;1055530475;SELL;1.35139;1.35197;1.35197;1.34964;10544.43;10431.51;-105.54;0.92;1.86;-0.94
8;2024.09.05 15:31:00;2024.09.05 15:31:00;2024.09.05 23:21:00;1055530475;BUY;1.35196;1.35033;1.35033;1.35678;10431.51;10323.88;-105.02;0.32;1.31;-0.99
9;2024.09.05 17:01:00;2024.09.05 17:01:00;2024.09.05 23:22:00;1055530475;BUY;1.35109;1.35032;1.35032;1.35332;10431.51;10212.23;-106.07;1.83;2.82;-0.98
10;2024.09.06 15:23:00;2024.09.06 15:23:00;2024.09.06 15:30:00;1055530475;SELL;1.34951;1.34998;1.34998;1.34809;10212.23;10513.92;310.54;3.04;0.26;-0.21
12;2024.09.06 15:48:00;2024.09.06 15:48:00;2024.09.06 15:54:00;1055530475;SELL;1.34892;1.34981;1.34981;1.34624;10513.92;10403.62;-105.50;0.60;1.57;-0.97
13;2024.09.06 16:14:00;2024.09.06 16:14:00;2024.09.06 16:28:00;1055530475;SELL;1.35147;1.35245;1.35245;1.34850;10403.62;10294.20;-105.07;0.18;1.15;-0.98
11;2024.09.06 15:38:00;2024.09.06 15:38:00;2024.09.06 17:27:00;1055530475;BUY;1.34771;1.34579;1.34579;1.35340;10513.92;10603.10;311.12;2.96;0.74;0.00
14;2024.09.06 16:36:00;2024.09.06 16:36:00;2024.09.06 17:36:00;1055530475;BUY;1.35143;1.35051;1.35051;1.35410;10294.20;10909.92;311.56;2.90;1.15;-0.25
15;2024.09.06 17:43:00;2024.09.06 17:43:00;2024.09.06 18:02:00;1055530475;BUY;1.35296;1.35178;1.35178;1.35642;10909.92;10796.19;-109.95;1.37;2.36;-0.98
16;2024.09.06 19:03:00;2024.09.06 19:03:00;2024.09.06 19:46:00;1055530475;BUY;1.35625;1.35572;1.35572;1.35775;10796.19;11104.66;317.08;2.93;1.49;0.00
17;2024.09.06 19:53:00;2024.09.06 19:53:00;2024.09.06 20:24:00;1055530475;SELL;1.35784;1.35845;1.35845;1.35598;11104.66;11432.05;334.71;2.99;1.12;0.00
18;2024.09.09 17:33:00;2024.09.09 17:33:00;2024.09.09 17:46:00;1055530475;SELL;1.35642;1.35714;1.35714;1.35426;11432.05;11311.51;-114.09;0.03;0.98;-0.95
19;2024.09.09 17:46:00;2024.09.09 17:46:00;2024.09.09 19:33:00;1055530475;SELL;1.35680;1.35741;1.35741;1.35496;11311.51;11644.88;340.90;2.99;1.73;-0.51
20;2024.09.10 16:34:00;2024.09.10 16:34:00;2024.09.10 16:41:00;1055530475;SELL;1.35793;1.35839;1.35839;1.35653;11644.88;11519.18;-115.47;0.28;1.20;-0.91
21;2024.09.10 17:25:00;2024.09.10 17:25:00;2024.09.11 03:19:00;1055530475;SELL;1.36102;1.36163;1.36163;1.35917;11519.18;11382.63;-113.80;2.35;3.29;-0.93
22;2024.09.11 15:40:00;2024.09.11 15:40:00;2024.09.11 16:37:00;1055530475;SELL;1.35978;1.36056;1.36056;1.35741;11382.63;11264.38;-112.37;1.64;2.58;-0.95
23;2024.09.11 17:48:00;2024.09.11 17:48:00;2024.09.11 18:06:00;1055530475;SELL;1.36212;1.36260;1.36260;1.36067;11264.38;11593.71;338.87;3.01;0.56;-0.06
24;2024.09.11 18:08:00;2024.09.11 18:08:00;2024.09.11 18:15:00;1055530475;BUY;1.36073;1.36024;1.36024;1.36212;11593.71;11463.75;-119.97;0.26;1.21;-0.96
25;2024.09.11 18:16:00;2024.09.11 18:16:00;2024.09.11 18:32:00;1055530475;BUY;1.36037;1.35980;1.35980;1.36200;11463.75;11337.07;-118.22;0.11;1.08;-0.97
26;2024.09.11 18:41:00;2024.09.11 18:41:00;2024.09.11 19:05:00;1055530475;BUY;1.35962;1.35911;1.35911;1.36108;11337.07;11211.04;-116.70;0.32;1.28;-0.96
27;2024.09.11 19:27:00;2024.09.11 19:27:00;2024.09.11 20:51:00;1055530475;SELL;1.35888;1.35949;1.35949;1.35702;11211.04;11540.89;337.23;3.01;1.07;-0.56
28;2024.09.12 11:05:00;2024.09.12 11:05:00;2024.09.12 14:58:00;1055530475;SELL;1.35760;1.35826;1.35826;1.35559;11540.89;11419.65;-114.19;1.05;1.99;-0.94
29;2024.09.12 15:16:00;2024.09.12 15:16:00;2024.09.12 15:31:00;1055530475;SELL;1.35841;1.35898;1.35898;1.35668;11419.65;11298.26;-113.29;0.09;1.02;-0.93
30;2024.09.12 15:50:00;2024.09.12 15:50:00;2024.09.12 16:24:00;1055530475;BUY;1.35795;1.35741;1.35741;1.35949;11298.26;11620.29;330.79;2.92;1.58;0.00
31;2024.09.12 16:36:00;2024.09.12 16:36:00;2024.09.12 16:52:00;1055530475;SELL;1.35929;1.35998;1.35998;1.35722;11620.29;11497.24;-116.18;0.48;1.43;-0.95
32;2024.09.12 17:20:00;2024.09.12 17:20:00;2024.09.12 18:40:00;1055530475;BUY;1.35940;1.35890;1.35890;1.36082;11497.24;11368.30;-119.22;1.78;2.75;-0.96
33;2024.09.12 20:12:00;2024.09.12 20:12:00;2024.09.12 22:37:00;1055530475;BUY;1.35873;1.35824;1.35824;1.36011;11368.30;11239.73;-118.70;1.98;2.95;-0.97
34;2024.09.13 15:43:00;2024.09.13 15:43:00;2024.09.13 19:22:00;1055530475;SELL;1.35830;1.35884;1.35884;1.35667;11239.73;11119.20;-112.07;2.46;3.39;-0.93
35;2024.09.17 15:39:00;2024.09.17 15:39:00;2024.09.18 21:01:00;1055530475;SELL;1.36106;1.36221;1.36221;1.35760;11119.20;11439.70;332.14;2.94;2.54;-0.34
36;2024.09.19 09:13:00;2024.09.19 09:13:00;2024.09.19 09:26:00;1055530475;BUY;1.35914;1.35858;1.35858;1.36073;11439.70;11312.80;-118.29;0.04;1.01;-0.97
37;2024.09.19 10:14:00;2024.09.19 10:14:00;2024.09.19 10:45:00;1055530475;BUY;1.35662;1.35597;1.35597;1.35848;11312.80;11188.52;-116.96;0.67;1.65;-0.98
38;2024.09.19 12:36:00;2024.09.19 12:36:00;2024.09.19 13:10:00;1055530475;SELL;1.35394;1.35440;1.35440;1.35256;11188.52;11066.16;-112.43;1.07;2.00;-0.93
39;2024.09.19 14:35:00;2024.09.19 14:35:00;2024.09.19 15:01:00;1055530475;BUY;1.35536;1.35489;1.35489;1.35670;11066.16;10942.18;-114.11;1.38;2.34;-0.95
