Summary
Name;Number of trades;Number of Sells;Number of Buys;Ratio;Average Risk Reward;Number of Wins(%) B/S;Number of BEs(%) B/S;Number of Losses(%) B/S;Max Drawdown Percentual;Max Balance;Max Consecutive Wins;Max Sequence without Losses;Max Consecutive Losses;Max Sequence without Wins;Final Balance
Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;27;14;13;1.26;0.19;8(29%) 3/5;0(0%)0/0;19(70%)10/9;0.05;10481.45;2;2;5;5;10569.94336
PendingOrders
Ticket;Strategy;Open Time;Close Time;Strategy ID;Type;Entry;SL;TP;Initial Balance;Distance to Open
2;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.03 12:30:00;2024.07.03 21:00:00;577827468;SELL;0.90409;0.90504;0.90124;9889.16;0.00079
3;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.04 14:00:00;2024.07.04 21:00:00;577827468;SELL;0.90200;0.90396;0.89612;9889.16;0.00166
8;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.10 14:00:00;2024.07.10 21:00:00;577827468;BUY;0.89731;0.89637;0.90013;9600.39;0.00054
9;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.11 18:30:00;2024.07.11 21:00:00;577827468;BUY;0.89296;0.89151;0.89731;9491.81;0.00092
11;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.18 17:30:00;2024.07.18 21:00:00;577827468;BUY;0.88359;0.88196;0.88848;9765.20;0.00060
12;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.22 16:00:00;2024.07.22 21:00:00;577827468;BUY;0.88822;0.88706;0.89170;9765.20;0.00066
13;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.26 10:00:00;2024.07.26 21:00:00;577827468;BUY;0.88109;0.88021;0.88373;9765.20;0.00050
18;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.08 16:30:00;2024.08.08 21:00:00;577827468;BUY;0.86047;0.85595;0.87403;9846.64;0.00386
20;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.12 20:30:00;2024.08.12 21:00:00;577827468;SELL;0.86839;0.87118;0.86002;9656.66;0.00237
27;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.21 19:00:00;2024.08.21 21:00:00;577827468;SELL;0.85359;0.85613;0.84597;10203.30;0.00203
29;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.23 17:30:00;2024.08.23 21:00:00;577827468;SELL;0.85145;0.85418;0.84326;10099.48;0.00165
31;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.27 12:30:00;2024.08.27 21:00:00;577827468;SELL;0.84735;0.84845;0.84405;10001.40;0.00065
33;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.28 18:00:00;2024.08.28 21:00:00;577827468;SELL;0.84352;0.84520;0.83848;9899.42;0.00053
34;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.29 11:00:00;2024.08.29 21:00:00;577827468;BUY;0.84119;0.83999;0.84479;9899.42;0.00071
35;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.02 13:30:00;2024.09.02 21:00:00;577827468;BUY;0.84956;0.84849;0.85277;9899.42;0.00080
37;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.03 16:30:00;2024.09.03 21:00:00;577827468;SELL;0.85114;0.85378;0.84322;10191.05;0.00015
42;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.09 17:30:00;2024.09.09 21:00:00;577827468;SELL;0.84849;0.84944;0.84564;9884.37;0.00024
43;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.10 15:30:00;2024.09.10 21:00:00;577827468;SELL;0.84838;0.84987;0.84391;9884.37;0.00043
44;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.11 13:00:00;2024.09.11 21:00:00;577827468;BUY;0.84414;0.84216;0.85008;9884.37;0.00191
46;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.13 20:30:00;2024.09.13 21:00:00;577827468;BUY;0.84644;0.84435;0.85271;10177.88;0.00159
47;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.16 18:30:00;2024.09.16 21:00:00;577827468;BUY;0.84448;0.84341;0.84769;10177.88;0.00025
49;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.17 16:00:00;2024.09.17 21:00:00;577827468;BUY;0.84497;0.84296;0.85100;10481.45;0.00120
50;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.20 11:00:00;2024.09.20 21:00:00;577827468;BUY;0.84661;0.84513;0.85105;10481.45;0.00069
51;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.23 13:00:00;2024.09.23 21:00:00;577827468;SELL;0.85089;0.85180;0.84816;10481.45;0.00059
53;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.24 17:30:00;2024.09.24 21:00:00;577827468;SELL;0.84697;0.84899;0.84091;10373.50;0.00103
54;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.25 13:30:00;2024.09.25 21:00:00;577827468;BUY;0.84549;0.84149;0.85749;10373.50;0.00176
56;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.30 11:00:00;2024.09.30 21:00:00;577827468;BUY;0.84168;0.84004;0.84660;10373.50;0.00095
Orders
Ticket;Strategy;Pending Time;Open Time;Close Time;Strategy ID;Type;Entry;Original SL;SL;TP;Initial Balance;Final Balance;Profit;Max Profit(%);Max Drawdown(%);Max Loss(%)
1;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.02 17:00:00;2024.07.02 17:30:00;2024.07.03 09:30:00;577827468;SELL;0.90403;0.90493;0.90493;0.90133;10000.00;9889.16;-93.49;0.80;1.72;-0.92
5;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.05 14:30:00;2024.07.05 15:30:00;2024.07.05 16:00:00;577827468;BUY;0.89848;0.89786;0.89786;0.90034;9889.16;9696.47;-93.21;0.00;0.92;-0.92
4;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.05 09:30:00;2024.07.05 15:00:00;2024.07.05 16:00:00;577827468;SELL;0.89916;0.90034;0.90034;0.89562;9889.16;9696.47;-93.30;0.68;1.63;-0.94
6;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.08 17:00:00;2024.07.08 17:30:00;2024.07.08 18:00:00;577827468;SELL;0.89615;0.89673;0.89673;0.89441;9696.47;9600.39;-91.82;0.00;0.91;-0.91
7;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.09 12:30:00;2024.07.09 14:30:00;2024.07.10 16:30:00;577827468;SELL;0.89824;0.89906;0.89906;0.89578;9600.39;9491.81;-90.31;1.79;2.71;-0.92
10;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.15 15:00:00;2024.07.15 16:30:00;2024.07.16 14:00:00;577827468;BUY;0.89405;0.89339;0.89339;0.89603;9491.81;9765.20;269.69;2.80;1.65;-0.23
14;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.07.30 12:00:00;2024.07.30 15:30:00;2024.07.30 20:30:00;577827468;SELL;0.88643;0.88756;0.88756;0.88304;9765.20;10043.00;279.99;2.81;1.02;-0.05
15;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.01 15:00:00;2024.08.01 15:30:00;2024.08.01 16:00:00;577827468;BUY;0.87655;0.87536;0.87536;0.88012;10043.00;9944.44;-96.43;0.00;0.95;-0.95
16;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.07 10:30:00;2024.08.07 11:30:00;2024.08.07 12:30:00;577827468;SELL;0.85698;0.85936;0.85936;0.84984;9944.44;9846.64;-96.75;0.19;1.16;-0.97
17;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.08 13:00:00;2024.08.08 16:00:00;2024.08.08 17:00:00;577827468;SELL;0.86156;0.86622;0.86622;0.84758;9846.64;9754.48;-91.65;0.00;0.93;-0.93
19;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.09 10:00:00;2024.08.09 11:00:00;2024.08.09 13:00:00;577827468;BUY;0.86574;0.86477;0.86477;0.86865;9754.48;9656.66;-95.27;0.11;1.07;-0.96
21;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.13 15:00:00;2024.08.13 15:30:00;2024.08.13 16:30:00;577827468;SELL;0.86718;0.86794;0.86794;0.86490;9656.66;9935.46;282.01;2.87;0.02;-0.02
23;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.14 15:00:00;2024.08.14 16:00:00;2024.08.14 16:30:00;577827468;BUY;0.86276;0.86202;0.86202;0.86498;9935.46;10227.07;295.06;3.21;0.29;0.00
22;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.13 16:30:00;2024.08.13 18:00:00;2024.08.15 16:00:00;577827468;SELL;0.86607;0.86800;0.86800;0.86028;9935.46;10104.15;-95.05;1.82;2.75;-0.93
24;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.19 12:00:00;2024.08.19 18:00:00;2024.08.20 04:30:00;577827468;BUY;0.86318;0.86156;0.86156;0.86804;10104.15;10007.94;-97.79;0.46;1.42;-0.96
25;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.21 11:00:00;2024.08.21 16:00:00;2024.08.21 17:30:00;577827468;BUY;0.85411;0.85206;0.85206;0.86026;10007.94;9908.22;-98.49;0.00;0.98;-0.98
26;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.21 15:30:00;2024.08.21 17:30:00;2024.08.21 18:30:00;577827468;SELL;0.85521;0.85613;0.85613;0.85245;9908.22;10203.30;297.84;2.95;0.00;0.00
28;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.22 09:30:00;2024.08.22 12:30:00;2024.08.22 15:00:00;577827468;SELL;0.85143;0.85251;0.85251;0.84819;10203.30;10099.48;-101.42;0.43;1.41;-0.98
30;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.26 14:30:00;2024.08.26 18:00:00;2024.08.27 00:30:00;577827468;BUY;0.84645;0.84555;0.84555;0.84915;10099.48;10001.40;-100.96;1.63;2.61;-0.98
32;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.08.28 12:30:00;2024.08.28 14:30:00;2024.08.28 16:00:00;577827468;SELL;0.84339;0.84465;0.84465;0.83961;10001.40;9899.42;-99.97;0.00;0.99;-0.99
36;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.03 13:00:00;2024.09.03 15:30:00;2024.09.03 16:30:00;577827468;SELL;0.85270;0.85378;0.85378;0.84946;9899.42;10191.05;293.94;2.91;0.00;0.00
38;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.04 14:00:00;2024.09.04 17:30:00;2024.09.04 18:00:00;577827468;BUY;0.84868;0.84717;0.84717;0.85321;10191.05;10087.81;-101.53;0.00;0.99;-0.99
39;Bia_S-USDCHF_TF-M30_L-8_LL-2_LE-2_T-1234_F-0.50_RR-3.0_BE-0.0_STS-0.0_TSF-0.0;2024.09.05 11:00:00;2024.09.05 11:30:00;2024.09.05 15:30:00;577827468;BUY;0.84643;0.84550;0.84550;0.84922;10087.81;9983.70;-101.35;0.07;1.06;-0.99
